                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85599,                0.80477,                 1.1954,                0.82417,                 0.7452,                0.83334,                0.64314,                0.78213,                0.67959,                 1.1164,             0.00055379,             0.00055379,             0.00055379
                      2,                0.90395,                0.89335,                 1.2138,                0.79419,                0.73362,                0.80304,                0.59981,                0.83875,                0.74195,                 1.1509,              0.0010655,              0.0010655,              0.0010655
                      3,                0.95741,                0.94962,                 1.2475,                0.80337,                0.69715,                0.78373,                0.58347,                0.87651,                 0.7851,                 1.1781,              0.0015332,              0.0015332,              0.0015332
                      4,                0.94792,                0.94643,                 1.2407,                0.81002,                0.70593,                0.79393,                 0.5746,                0.89822,                0.82737,                 1.1986,               0.001469,               0.001469,               0.001469
                      5,                0.96382,                 0.9534,                 1.2481,                0.75606,                0.70214,                 0.7653,                0.56988,                0.85699,                0.81685,                 1.1572,              0.0014029,              0.0014029,              0.0014029
                      6,                0.93899,                0.92907,                 1.2327,                0.80221,                0.68234,                0.79379,                 0.5945,                0.83016,                0.78088,                 1.1583,              0.0013369,              0.0013369,              0.0013369
                      7,                0.92749,                 0.9089,                 1.2209,                0.82421,                0.71355,                0.81763,                0.60845,                0.82384,                0.74047,                 1.1537,              0.0012709,              0.0012709,              0.0012709
                      8,                 0.9118,                0.88336,                  1.213,                0.81495,                0.73109,                0.81727,                0.61432,                0.80335,                0.72117,                 1.1313,              0.0012049,              0.0012049,              0.0012049
                      9,                0.90934,                0.89653,                 1.2158,                0.83804,                0.73246,                0.84013,                0.63211,                0.81601,                 0.7026,                 1.1354,              0.0011389,              0.0011389,              0.0011389
                     10,                0.89406,                0.85703,                 1.2043,                0.82858,                0.73704,                0.83097,                0.63585,                0.80214,                0.69503,                 1.1361,              0.0010729,              0.0010729,              0.0010729
                     11,                0.87433,                0.82567,                 1.1888,                0.78416,                0.73301,                0.81132,                0.61283,                0.79651,                0.71622,                 1.1288,              0.0010069,              0.0010069,              0.0010069
                     12,                0.86451,                0.82137,                 1.1908,                0.80749,                0.73398,                0.82354,                0.63116,                0.79446,                0.71348,                 1.1287,             0.00094085,             0.00094085,             0.00094085
                     13,                0.85471,                0.81493,                 1.1781,                 0.8184,                0.75636,                 0.8395,                 0.6451,                0.78632,                0.67262,                 1.1177,             0.00087484,             0.00087484,             0.00087484
                     14,                0.83612,                0.78797,                 1.1693,                0.82808,                 0.7573,                0.84125,                0.65518,                0.76496,                0.65366,                 1.1068,             0.00080883,             0.00080883,             0.00080883
                     15,                0.83503,                0.78121,                 1.1644,                0.84842,                0.74452,                0.84605,                0.65367,                0.76602,                 0.6449,                 1.1085,             0.00074282,             0.00074282,             0.00074282
                     16,                0.67193,                0.55837,                 1.0666,                0.82745,                0.76403,                0.84927,                0.65694,                0.77402,                0.65478,                  1.109,              0.0006768,              0.0006768,              0.0006768
                     17,                0.66345,                 0.5395,                 1.0571,                0.85409,                0.73622,                 0.8425,                0.66103,                0.76321,                 0.6416,                 1.1001,             0.00061079,             0.00061079,             0.00061079
                     18,                0.63887,                0.51725,                 1.0476,                0.84584,                0.75049,                0.84824,                0.66331,                0.75141,                0.63869,                 1.1028,             0.00054478,             0.00054478,             0.00054478
                     19,                0.63299,                0.49755,                 1.0412,                0.82922,                  0.757,                0.85181,                0.67363,                0.73973,                0.62907,                 1.0888,             0.00047876,             0.00047876,             0.00047876
                     20,                0.61304,                0.47401,                 1.0321,                0.83892,                0.76724,                0.85801,                0.67813,                0.73486,                0.61228,                 1.0843,             0.00041275,             0.00041275,             0.00041275
                     21,                0.59899,                0.45782,                  1.021,                0.85498,                0.77117,                   0.86,                0.68085,                0.73303,                0.60759,                 1.0904,             0.00034674,             0.00034674,             0.00034674
                     22,                0.59058,                0.43968,                  1.015,                0.86289,                0.76203,                0.85842,                  0.682,                0.73239,                0.60365,                  1.089,             0.00028072,             0.00028072,             0.00028072
                     23,                 0.5778,                0.42813,                 1.0084,                0.84757,                0.76979,                0.86007,                0.68976,                0.71935,                0.59351,                 1.0862,             0.00021471,             0.00021471,             0.00021471
                     24,                0.56319,                0.41293,                 0.9955,                 0.8477,                0.77111,                0.85471,                0.68599,                0.71402,                0.58929,                 1.0807,              0.0001487,              0.0001487,              0.0001487
                     25,                0.55299,                0.40558,                0.99983,                0.86949,                0.76051,                0.86339,                0.69282,                0.70792,                 0.5814,                  1.076,             8.2683e-05,             8.2683e-05,             8.2683e-05
